Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
50, eco2, 1, 10, 1.7, 1005.4, 7.4, 0, 0, 0, 0, 3.95, 122.9, 0.1, 0, 0, 0, 0, 1.7, 0.1, 9.6, 0, 2.4, 0, 0.2, 0.6, 4.2, 1000.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 0.2, 118.6, 0, 0, 0, 0, 0, 0, 0, 0, 27.74, 0, 0.32, 8.3, 0.1, 0, 0, 122.8, 3.18, 0, 
50, eco3, 2, 9902, 79.4, 1598.2, 5220.6, 103.9, 11.6, 69.5, 88.9, 4.07, 178.9, 7.1, 14.2, 2.8, 2420.3, 249.7, 513.6, 53.7, 471.6, 82.8, 93.9, 7.1, 48.4, 44.7, 331.1, 1174.1, 0.3, 0.1, 9.8, 2.2, 2.4, 0.5, 2.4, 2.3, 0.5, 0.4, 1.5, 5.1, 7.9, 139.5, 0, -0.5, 0, 0, 2, 2.9, -2.4, 0, 27.76, 0.25, 0.56, 149.2, 1.5, 2.3, 1.5, 163.6, 2.58, 0, 
50, eco4, 3, 6583, 40.7, 1418, 3448, 82.5, 9.5, 54.8, 59.2, 3.9, 162.4, 4.9, 16.3, 3.3, 1578.6, 167, 356.5, 38.9, 355.8, 66.5, 66, 6.1, 34.8, 31.3, 228, 1123.9, 0.3, 0.1, 6.5, 1.5, 1.7, 0.4, 1.8, 1.9, 0.3, 0.3, 1.1, 3.5, 5.6, 133.5, 0, -0.4, 0, 0, 1.4, 1.9, -1.5, 0, 28.84, 0.08, 0.36, 79.3, 0.8, 1.7, 1.2, 151.9, 2.6, 0, 
50, eco5, 4, 14637, 56.8, 1890.2, 2863.7, 46.2, 8.1, 33.2, 51, 3.52, 218.2, 3.9, 43.1, 8.6, 1246.8, 148.6, 336.8, 42, 340.1, 50.9, 62.3, 6.5, 30.5, 27, 207.7, 1624.9, 0.9, 0.2, 5, 1.5, 1.5, 0.4, 1.7, 1.4, 0.3, 0.3, 0.9, 3, 5, 192.6, 0, -0.3, 0, 0, 1, 1.7, -1.3, 0, 29.82, 0.14, 0.81, 61.2, 0.5, 0.7, 0.5, 208.7, 2.55, 0, 
60, eco2, 1, 10, 0.6, 1002.2, 20.6, 0, 0, 0, 0, 3.89, 122.6, 0, 0, 0, 0, 0, 0.2, 0, 6.3, 0, 1.8, 0, 0.1, 0.2, 1.6, 1000.3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 118.6, 0, 0, 0, 0, 0, 0, 0, 0, 32.49, 0, 0.33, 0, 0, 0, 0, 122.6, 3.11, 0, 
60, eco3, 2, 9902, -35.2, 1577.4, 5094.1, 201.3, 21.3, 74.7, 91.3, 3.57, 177.1, 6.8, 27.6, 4, 2324.3, 239.4, 482.9, 50.5, 441.7, 72.7, 96.9, 6.2, 43.9, 42.2, 313.9, 1177.3, 0.9, 0.1, 9.1, 2, 2.2, 0.5, 2.2, 2, 0.5, 0.3, 1.3, 4.8, 7.5, 140, 0, -0.5, 0, 0, 1.8, 3, -2.3, 0, 27.97, 0.36, 0.59, 144.7, 1.5, 3.3, 1.7, 162.3, 2.34, 0, 
60, eco4, 3, 6583, 13, 1402.8, 3200.1, 96.8, 11.4, 34.5, 53.9, 3.94, 160.1, 4.4, 22.5, 3.8, 1398.9, 147.7, 329.3, 34.7, 304.1, 40.8, 66.4, 3.8, 28.7, 29.6, 218.6, 1126, 0.6, 0.1, 5.6, 1.3, 1.5, 0.3, 1.5, 1.2, 0.3, 0.2, 0.8, 3.4, 5.5, 133.8, 0, -0.3, 0, 0, 1, 2, -1.5, 0, 28.2, 0.12, 0.42, 121.4, 1.2, 1.6, 0.7, 150.6, 2.8, 0, 
60, eco5, 4, 14637, 43.6, 1888.5, 2992.4, 56.1, 10.6, 23.6, 50.6, 3.68, 218.5, 3.8, 50.7, 10, 1246.2, 149.4, 329.1, 41.5, 366.8, 35, 68.7, 5.1, 28.2, 26.6, 207.2, 1626.6, 1, 0.2, 5.3, 1.6, 1.5, 0.5, 1.8, 1, 0.3, 0.2, 0.7, 3, 4.9, 192.9, 0, -0.2, 0, 0, 0.9, 1.8, -1.4, 0, 30.36, 0.2, 0.92, 63.7, 0.6, 0.7, 0.3, 208.5, 2.83, 0, 
70, eco2, 1, 10, -5.3, 1003.3, 68.3, 6.1, 0.6, 1.8, 0.7, 3.91, 123, 0.1, 0, 0, 28.1, 2.8, 2.7, 0.3, 8.7, 1.1, 1.7, 0.1, 0.4, 0.3, 2.2, 1000.4, 0, 0, 0.2, 0.1, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 118.6, 0, 0, 0, 0, 0, 0, 0, 0, 32.86, 0, 0.17, 0, 0, 0.1, 0, 122.7, 3.06, 0, 
70, eco3, 2, 9902, -111.5, 1588.9, 5293.2, 293.5, 30.2, 138.1, 97.4, 3.65, 179.2, 7.8, 22.4, 3.3, 2453.4, 251.5, 493, 51.3, 479.4, 103.5, 104.8, 8.8, 48.5, 42.9, 317, 1180.5, 0.7, 0.1, 9.5, 2.1, 2.3, 0.5, 2.4, 2.9, 0.5, 0.5, 1.6, 4.8, 7.3, 140.5, 0, -0.6, 0, 0.1, 2.1, 3.2, -2.3, 0, 28.7, 0.05, 0.09, 133.8, 1.3, 3.4, 3.1, 164.1, 2.07, 0, 
