EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanSeverity,TotalBiomassMortality,NumberCellsSeverity1,NumberCellsSeverity2,NumberCellsSeverity3,
771, 97, 500, 684, 17.8840621045678, 73, Rx, 1, 191, 3009, 14.0591939824084, 11.3496240455602, 131.937172774869, 0, 12.72, 0.994764397905759, 1.46, 156695, 2, 138, 0, 
772, 97, 585, 513, 19.5306563053053, 74, Rx, 1, 191, 110, 13.3129190186387, 13.6415656492958, 151.727748691099, 0, 15.79, 0.994764397905759, 0.95, 8078, 140, 21, 0, 
773, 97, 547, 643, 20.153084897982, 75, Rx, 1, 191, 2358, 15.7192973547644, 16.9308871862407, 132.879581151832, 0, 14.94, 0.994764397905759, 1.45, 148396, 5, 136, 0, 
774, 97, 566, 541, 18.6723357116591, 76, Rx, 1, 192, 2961, 8.50310299125001, 9.09145092873008, 133.125, 0, 11.35, 0.994791666666667, 1.48, 248533, 0, 142, 0, 
775, 97, 642, 565, 17.1960669578459, 77, Rx, 1, 191, 4583, 11.5413462282722, 13.5329348352048, 139.476439790576, 0, 13.32, 0.994764397905759, 1.55, 388131, 0, 148, 0, 
776, 97, 492, 745, 17.3646227624741, 78, Rx, 1, 191, 1491, 9.55957221989527, 13.007400737655, 140.418848167539, 0, 13.74, 0.994764397905759, 1.48, 138673, 15, 134, 0, 
777, 98, 495, 789, 17.8192657588052, 71, Rx, 1, 191, 1880, 14.8554808963351, 15.13075386328, 135.706806282723, 0, 13.33, 0.994764397905759, 1.51, 254957, 0, 144, 0, 
778, 98, 476, 773, 19.1154205983455, 77, Rx, 1, 191, 201, 12.4259943317278, 11.8333224020837, 136.649214659686, 0, 14.81, 0.994764397905759, 0.94, 26008, 110, 35, 0, 
779, 98, 604, 589, 28.252242510596, 78, Rx, 1, 191, 1083, 23.5260216753927, 24.1177557383833, 141.361256544503, 0, 22.19, 0.994764397905759, 1.43, 62519, 26, 124, 0, 
780, 98, 501, 723, 27.3548985867478, 79, Rx, 1, 191, 2277, 21.0763955591623, 17.6351423642536, 141.361256544503, 0, 21.47, 0.994764397905759, 1.55, 154503, 4, 146, 0, 
781, 98, 527, 658, 26.661191724524, 80, Rx, 1, 191, 2177, 16.8942922002094, 18.427721869663, 133.821989528796, 0, 19.14, 0.994764397905759, 1.49, 252068, 0, 142, 0, 
782, 98, 620, 671, 33.5747281172054, 81, Rx, 1, 192, 331, 22.517594925, 22.7123847312444, 142.5, 0, 25.99, 0.994791666666667, 1.05, 37093, 103, 49, 0, 
783, 98, 497, 692, 19.0058349839463, 82, Rx, 1, 191, 2412, 11.6313706856544, 10.0443623959504, 132.879581151832, 0, 15.13, 0.994764397905759, 1.47, 190814, 1, 140, 0, 
784, 98, 580, 600, 15.5728512554858, 83, Rx, 1, 192, 1425, 7.13002503750001, 7.79945110758912, 135.9375, 0, 13.03, 0.994791666666667, 1.42, 119805, 18, 127, 0, 
