Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,StreamC,StreamN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,
50, eco2, 1, 10, 2.3, 1009.6, 19.4, 0, 0, 0, 0, 4.05, 123.5, 0.1, 0, 0, 0, 0, 1.2, 0.1, 14.6, 0, 5.1, 0, 0.2, 0.9, 5.7, 1002.8, 0, 0, 0, 0, 0, 0, 0.1, 0, 0, 0, 0, 0.1, 0.2, 119, 0, 0, 0, 0, 0, 0.1, 0, 0, 29.9, 0, 0.18, 6.6, 0.1, 0, 0, 123.5, 3.19, 0, 
50, eco3, 2, 9902, -135.8, 1641.9, 5942.6, 341.8, 35.7, 147.7, 108.7, 3.72, 183.6, 8.8, 34.2, 5.4, 2730.5, 282.6, 563.5, 59.6, 543.8, 113.7, 104.7, 10, 54.9, 49.4, 362.9, 1174.7, 1, 0.1, 10.8, 2.4, 2.7, 0.6, 2.7, 3.2, 0.5, 0.5, 1.8, 5.5, 8.4, 139.6, 0.1, -0.7, 0, 0.1, 2.3, 3.7, -2.7, 0, 29.17, 0.06, 0.1, 158.1, 1.6, 3.6, 3.1, 165.9, 2.12, 0, 
50, eco4, 3, 6583, -99.6, 1442.6, 3915.1, 230.7, 24.8, 91.2, 72.8, 3.7, 164.6, 5.7, 33.2, 5.5, 1736.4, 184.2, 381.7, 41.8, 388.9, 72.9, 71.2, 6.9, 36.7, 34, 247.8, 1124.1, 0.9, 0.1, 6.9, 1.7, 1.8, 0.4, 1.9, 2, 0.4, 0.4, 1.2, 3.8, 5.9, 133.5, 0, -0.4, 0, 0, 1.5, 2.4, -1.7, 0, 28.26, 0.02, 0.06, 102.3, 1, 2.7, 1.9, 152.7, 2.29, 0, 
50, eco5, 4, 14637, -123, 1876.2, 2916.6, 213.6, 24.7, 88.4, 50, 3.02, 216.6, 4.1, 33.9, 6.6, 1209.2, 139, 311.3, 36.7, 297.1, 51.2, 57.7, 6.1, 27.4, 25.6, 198, 1625.2, 0.7, 0.2, 5.1, 1.4, 1.4, 0.4, 1.5, 1.5, 0.3, 0.3, 0.8, 2.8, 4.7, 192.7, 0, -0.3, 0, 0, 0.8, 1.9, -1.2, 0, 28.8, 0.02, 0.13, 79.7, 0.7, 3.6, 1.8, 207.5, 1.75, 0, 
60, eco2, 1, 10, -0.3, 1006, 48.8, 1.5, 0.1, 0.3, 0.1, 3.94, 123.2, 0.1, 0.2, 0, 4.1, 0.4, 0.8, 0, 9, 0.2, 3.5, 0, 0.1, 0.4, 2.6, 1002.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.1, 119, 0, 0, 0, 0, 0, 0, 0, 0, 31.88, 0, 0.23, 2.8, 0, 0, 0, 123.2, 3.12, 0, 
60, eco3, 2, 9902, 18.7, 1625.5, 5629.3, 188.5, 21, 81.3, 97.4, 4.01, 180.8, 8.3, 21, 4, 2552, 263.3, 534.2, 55.8, 496.6, 82.3, 107, 7, 49.4, 47.3, 350.6, 1178.3, 0.5, 0.1, 10, 2.2, 2.5, 0.5, 2.5, 2.3, 0.5, 0.4, 1.4, 5.4, 8.3, 140.2, 0.1, -0.6, 0, 0, 2.2, 3.6, -2.8, 0, 28.93, 0.08, 0.15, 162, 1.7, 3.5, 1.7, 165, 2.33, 0, 
60, eco4, 3, 6583, 26.5, 1442.6, 3782.2, 111.9, 13.3, 46.8, 66.6, 4.04, 163.9, 5.5, 21.4, 4.2, 1678.2, 177.3, 380.1, 40.6, 377.9, 54.2, 75.4, 4.9, 34.8, 33.6, 247.7, 1126.5, 0.5, 0.1, 6.7, 1.6, 1.8, 0.4, 1.9, 1.5, 0.4, 0.2, 1, 3.8, 6, 133.9, 0, -0.4, 0, 0, 1.4, 2.4, -1.8, 0, 28.39, 0.04, 0.15, 106.8, 1.1, 2.2, 0.9, 152.8, 2.62, 0, 
60, eco5, 4, 14637, -13.7, 1865.8, 2775, 106.2, 13.7, 43.5, 46.6, 3.73, 216.7, 3.8, 31.2, 6.2, 1155.2, 132.7, 295.5, 34.8, 307.3, 38.6, 61.6, 4.6, 25.8, 24.3, 189, 1626.8, 0.6, 0.1, 5, 1.4, 1.4, 0.4, 1.5, 1.1, 0.3, 0.2, 0.7, 2.8, 4.5, 192.9, 0, -0.2, 0, 0, 0.9, 1.8, -1.3, 0, 29.14, 0.04, 0.21, 80.4, 0.8, 2, 0.8, 207.8, 2.48, 0, 
70, eco2, 1, 10, -1.1, 1007.7, 50.4, 3.1, 0.3, 1.4, 0.3, 3.98, 123.5, 0.1, 0.1, 0, 13.9, 1.4, 3, 0.2, 11.9, 1.7, 3.5, 0.1, 0.5, 0.6, 3.7, 1002.9, 0, 0, 0, 0, 0, 0, 0.1, 0.1, 0, 0, 0, 0.1, 0.1, 119, 0, 0, 0, 0, 0, 0, 0, 0, 29.49, 0, 0.2, 2.5, 0.1, 0.1, 0, 123.4, 3.14, 0, 
70, eco3, 2, 9902, -53.2, 1640, 5854.8, 268.9, 28.3, 102, 108.3, 3.81, 184.3, 9.3, 38.6, 5.3, 2675.6, 275, 544.7, 56.6, 530.4, 118.4, 115.4, 9.7, 55.7, 48.3, 354.3, 1181.7, 1.3, 0.2, 10.4, 2.3, 2.5, 0.5, 2.7, 3.3, 0.6, 0.5, 2, 5.5, 8, 140.7, 0.1, -0.8, 0, 0.1, 2.9, 3.5, -2.8, 0, 28.17, 0.12, 0.28, 149.9, 1.5, 3.8, 2.1, 167.1, 2.3, 0, 
