Time, Species, ClimateRegion, NumberSitesChecked, AvgTempMult, AvgMinJanTempMult, AvgSoilMoistureMult, AvgProbEst
10, PinuEnch, eco2, 1,0.000,1.000,1.000,0.000
10, PinuEnch, eco3, 95,0.640,1.000,0.993,0.635
10, PinuEnch, eco4, 249,0.246,0.968,1.000,0.230
10, PinuEnch, eco5, 1003,0.001,0.992,1.000,0.001
10, CastDent, eco2, 3,0.643,1.000,1.000,0.643
10, CastDent, eco3, 6392,0.985,1.000,0.998,0.985
10, CastDent, eco4, 3845,0.968,1.000,0.999,0.968
10, CastDent, eco5, 11407,0.674,1.000,1.000,0.674
20, CaryOvat, eco2, 19,0.855,1.000,1.000,0.855
20, CaryOvat, eco3, 5072,0.995,1.000,0.876,0.873
20, CaryOvat, eco4, 5389,0.979,1.000,0.880,0.862
20, CaryOvat, eco5, 13546,0.874,1.000,0.981,0.858
20, CaryAlba, eco2, 19,0.777,1.000,1.000,0.777
20, CaryAlba, eco3, 5078,0.994,1.000,0.877,0.871
20, CaryAlba, eco4, 5394,0.952,1.000,0.880,0.840
20, CaryAlba, eco5, 13521,0.801,1.000,0.981,0.788
20, CornFlor, eco2, 19,0.713,1.000,1.000,0.713
20, CornFlor, eco3, 5810,0.972,1.000,0.916,0.891
20, CornFlor, eco4, 6477,0.903,1.000,0.919,0.836
20, CornFlor, eco5, 16135,0.738,1.000,0.989,0.732
20, FraxPenn, eco2, 18,0.928,1.000,1.000,0.928
20, FraxPenn, eco3, 5063,0.995,1.000,0.827,0.824
20, FraxPenn, eco4, 5408,0.992,1.000,0.811,0.804
20, FraxPenn, eco5, 13526,0.938,1.000,0.977,0.916
20, FraxAmer, eco2, 19,0.867,1.000,1.000,0.867
20, FraxAmer, eco3, 5791,0.996,1.000,0.927,0.924
20, FraxAmer, eco4, 6479,0.972,1.000,0.930,0.906
20, FraxAmer, eco5, 16143,0.882,1.000,0.991,0.875
20, FaguGran, eco2, 19,0.925,1.000,1.000,0.925
20, FaguGran, eco3, 5800,0.987,1.000,0.927,0.919
20, FaguGran, eco4, 6469,0.995,1.000,0.930,0.926
20, FaguGran, eco5, 16119,0.937,1.000,0.991,0.930
20, JuglNigr, eco2, 17,0.916,1.000,1.000,0.916
20, JuglNigr, eco3, 4034,0.898,1.000,0.924,0.850
20, JuglNigr, eco4, 4138,0.988,1.000,0.924,0.915
20, JuglNigr, eco5, 5198,0.931,1.000,0.985,0.919
20, HaleDipt, eco2, 19,0.610,1.000,1.000,0.610
20, HaleDipt, eco3, 5824,0.897,1.000,0.933,0.846
20, HaleDipt, eco4, 6458,0.804,1.000,0.937,0.770
20, HaleDipt, eco5, 16127,0.633,0.996,0.992,0.629
20, IlexOpac, eco2, 19,0.610,1.000,1.000,0.610
20, IlexOpac, eco3, 5785,0.897,1.000,0.933,0.846
20, IlexOpac, eco4, 6465,0.804,1.000,0.937,0.770
20, IlexOpac, eco5, 16129,0.633,0.996,0.992,0.629
20, LiriTuli, eco2, 18,0.000,1.000,1.000,0.000
20, LiriTuli, eco3, 4860,0.673,1.000,0.922,0.643
20, LiriTuli, eco4, 5088,0.391,1.000,0.920,0.382
20, LiriTuli, eco5, 10517,0.000,1.000,0.988,0.000
20, LiquStyr, eco2, 18,0.224,1.000,1.000,0.224
20, LiquStyr, eco3, 4867,0.830,1.000,0.922,0.780
20, LiquStyr, eco4, 5079,0.638,0.988,0.920,0.611
20, LiquStyr, eco5, 10547,0.278,0.981,0.988,0.275
20, MagnAcum, eco2, 18,0.513,1.000,1.000,0.513
20, MagnAcum, eco3, 5076,0.922,1.000,0.845,0.780
20, MagnAcum, eco4, 5398,0.800,1.000,0.848,0.685
20, MagnAcum, eco5, 13523,0.549,0.995,0.979,0.536
20, MagnMacr, eco2, 18,0.513,1.000,1.000,0.513
20, MagnMacr, eco3, 5064,0.923,1.000,0.844,0.779
20, MagnMacr, eco4, 5395,0.800,1.000,0.848,0.685
20, MagnMacr, eco5, 13536,0.549,0.995,0.979,0.536
20, NyssSylv, eco2, 19,0.610,1.000,1.000,0.610
20, NyssSylv, eco3, 5797,0.897,1.000,0.933,0.846
20, NyssSylv, eco4, 6471,0.804,1.000,0.937,0.770
20, NyssSylv, eco5, 16123,0.633,0.996,0.992,0.629
20, OxydArbo, eco2, 19,0.610,1.000,1.000,0.610
20, OxydArbo, eco3, 5784,0.897,1.000,0.933,0.846
20, OxydArbo, eco4, 6507,0.804,1.000,0.937,0.770
20, OxydArbo, eco5, 16129,0.633,0.996,0.992,0.629
20, PrunSero, eco2, 18,0.611,1.000,1.000,0.611
20, PrunSero, eco3, 4864,0.951,1.000,0.922,0.879
20, PrunSero, eco4, 5058,0.853,1.000,0.920,0.799
20, PrunSero, eco5, 10544,0.641,1.000,0.988,0.638
20, PrunPenn, eco2, 16,0.000,1.000,1.000,0.000
20, PrunPenn, eco3, 4041,0.000,1.000,0.845,0.000
20, PrunPenn, eco4, 4132,0.000,1.000,0.844,0.000
20, PrunPenn, eco5, 5230,0.002,1.000,0.967,0.002
20, PlanOcid, eco2, 18,0.773,1.000,1.000,0.773
20, PlanOcid, eco3, 4859,0.994,1.000,0.825,0.820
20, PlanOcid, eco4, 5096,0.952,1.000,0.801,0.762
20, PlanOcid, eco5, 10569,0.798,1.000,0.972,0.776
20, QuerAlba, eco2, 18,0.836,1.000,1.000,0.836
20, QuerAlba, eco3, 5076,0.996,1.000,0.936,0.932
20, QuerAlba, eco4, 5395,0.972,1.000,0.933,0.909
20, QuerAlba, eco5, 13520,0.856,1.000,0.992,0.851
20, QuerCocc, eco2, 18,0.874,1.000,1.000,0.874
20, QuerCocc, eco3, 4875,0.915,1.000,0.917,0.858
20, QuerCocc, eco4, 5085,0.991,1.000,0.915,0.909
20, QuerCocc, eco5, 10538,0.899,1.000,0.987,0.889
