Time,ManagementArea,Prescription,Stand,EventID,StandAge,StandRank,NumberOfSites,HarvestedSites,TotalCohortsHarvested,CohortsHarvested_CaryOvat,CohortsHarvested_CaryAlba,CohortsHarvested_CornFlor,CohortsHarvested_FraxPenn,CohortsHarvested_FraxAmer,CohortsHarvested_FaguGran,CohortsHarvested_JuglNigr,CohortsHarvested_HaleDipt,CohortsHarvested_IlexOpac,CohortsHarvested_LiriTuli,CohortsHarvested_LiquStyr,CohortsHarvested_MagnAcum,CohortsHarvested_MagnMacr,CohortsHarvested_NyssSylv,CohortsHarvested_OxydArbo,CohortsHarvested_PrunSero,CohortsHarvested_PrunPenn,CohortsHarvested_PlanOcid,CohortsHarvested_QuerAlba,CohortsHarvested_QuerCocc,CohortsHarvested_QuerFalc,CohortsHarvested_QuerRubr,CohortsHarvested_QuerPrin,CohortsHarvested_QuerVelu,CohortsHarvested_QuerStel,CohortsHarvested_RobiPseu,CohortsHarvested_SassAlid,CohortsHarvested_TiliAmer,CohortsHarvested_TiliAmhe,CohortsHarvested_CaryGlab,CohortsHarvested_CaryCodi,CohortsHarvested_BetuNigr,CohortsHarvested_BetuLent,CohortsHarvested_BetuAlle,CohortsHarvested_AcerPens,CohortsHarvested_AmelArbo,CohortsHarvested_AescBuck,CohortsHarvested_AcerRubr,CohortsHarvested_AcerSacc,CohortsHarvested_TsugCana,CohortsHarvested_PinuVirg,CohortsHarvested_PinuTaed,CohortsHarvested_PinuStro,CohortsHarvested_PinuRigi,CohortsHarvested_PinuPung,CohortsHarvested_FrasFirr,CohortsHarvested_PiceRube,CohortsHarvested_PinuEnch,CohortsHarvested_CastDent,
10, 4, FarmClearings, 46601550, 7, 31, 716, 8, 7, 149, 1, 0, 13, 0, 0, 9, 0, 3, 0, 5, 0, 5, 2, 0, 5, 0, 0, 0, 1, 0, 0, 4, 11, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 0, 12, 7, 0, 8, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 
10, 4, FarmClearings, 46201801, 71, 33, 120, 71, 61, 1149, 5, 7, 120, 0, 7, 31, 0, 28, 0, 46, 0, 18, 10, 13, 91, 1, 0, 0, 48, 4, 0, 24, 116, 0, 0, 0, 0, 0, 1, 8, 0, 0, 0, 0, 77, 42, 0, 57, 137, 3, 0, 0, 0, 0, 0, 0, 0, 0, 255, 
10, 4, FarmClearings, 30501603, 28, 22, 475, 11, 10, 249, 0, 1, 25, 0, 11, 0, 0, 0, 0, 8, 0, 0, 1, 0, 21, 0, 0, 0, 21, 0, 0, 0, 25, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 0, 14, 39, 11, 0, 0, 0, 0, 0, 0, 0, 1, 45, 
10, 4, FarmClearings, 46201687, 32, 20, 440, 7, 6, 97, 0, 0, 12, 0, 3, 4, 0, 4, 0, 10, 0, 2, 0, 1, 5, 0, 0, 0, 5, 0, 0, 0, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 0, 6, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 
10, 4, FarmClearings, 46601732, 62, 20, 192, 20, 18, 447, 10, 3, 38, 0, 0, 0, 0, 14, 0, 11, 0, 0, 0, 2, 43, 0, 0, 0, 35, 0, 0, 1, 32, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 1, 0, 35, 76, 26, 0, 0, 0, 0, 0, 0, 0, 0, 83, 
10, 4, FarmClearings, 46201818, 29, 27, 471, 26, 23, 457, 1, 7, 49, 0, 0, 10, 0, 3, 0, 18, 0, 2, 7, 0, 17, 0, 0, 0, 30, 0, 0, 1, 45, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 7, 0, 38, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 
10, 4, FarmClearings, 46501862, 5, 34, 729, 37, 32, 846, 7, 6, 85, 0, 0, 4, 0, 23, 0, 34, 0, 8, 14, 12, 49, 0, 0, 0, 71, 5, 0, 21, 81, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 28, 2, 0, 49, 111, 55, 0, 0, 0, 0, 0, 0, 0, 0, 177, 
10, 4, FarmClearings, 46201840, 64, 34, 177, 34, 29, 575, 0, 9, 67, 0, 0, 7, 0, 10, 0, 34, 0, 6, 4, 1, 45, 0, 0, 0, 29, 0, 0, 7, 73, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 30, 8, 0, 22, 59, 5, 0, 0, 0, 0, 0, 0, 0, 0, 154, 
10, 4, FarmClearings, 46502320, 22, 41, 529, 174, 148, 3556, 10, 42, 404, 18, 20, 85, 0, 22, 44, 121, 0, 6, 20, 46, 306, 0, 0, 0, 380, 30, 18, 47, 319, 5, 16, 0, 0, 0, 0, 9, 0, 0, 0, 0, 151, 64, 0, 198, 341, 88, 0, 0, 0, 0, 1, 0, 0, 16, 729, 
10, 4, FarmClearings, 29901843, 19, 28, 541, 8, 7, 186, 0, 0, 18, 0, 0, 6, 0, 6, 0, 9, 0, 0, 0, 4, 18, 0, 0, 0, 16, 0, 0, 3, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 8, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 
10, 4, FarmClearings, 47601785, 6, 32, 723, 7, 6, 153, 0, 1, 24, 0, 0, 2, 0, 1, 7, 4, 0, 0, 0, 3, 15, 0, 0, 0, 7, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 0, 11, 12, 2, 0, 0, 0, 0, 0, 0, 0, 0, 41, 
10, 4, FarmClearings, 46502104, 54, 35, 259, 64, 55, 1358, 0, 17, 135, 0, 0, 37, 0, 9, 23, 47, 0, 0, 20, 22, 117, 2, 0, 0, 147, 9, 0, 28, 134, 0, 9, 0, 1, 0, 0, 7, 0, 0, 0, 0, 60, 41, 0, 64, 110, 39, 0, 0, 0, 0, 0, 0, 0, 9, 271, 
10, 4, FarmClearings, 30603024, 56, 37, 218, 320, 273, 7131, 0, 78, 848, 27, 22, 118, 0, 40, 19, 216, 0, 26, 133, 103, 584, 0, 0, 2, 939, 61, 28, 75, 679, 40, 64, 0, 0, 0, 0, 5, 0, 0, 0, 0, 334, 235, 0, 383, 360, 84, 3, 0, 0, 0, 0, 0, 0, 16, 1609, 
10, 4, FarmClearings, 29901937, 46, 25, 305, 9, 8, 182, 0, 0, 15, 0, 0, 4, 0, 4, 0, 7, 0, 0, 1, 2, 14, 0, 0, 0, 11, 0, 0, 3, 13, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 11, 0, 9, 28, 2, 0, 0, 0, 0, 0, 0, 0, 0, 40, 
10, 4, FarmClearings, 47601980, 18, 32, 554, 7, 6, 225, 0, 6, 22, 0, 13, 0, 0, 1, 0, 6, 0, 0, 2, 10, 13, 0, 0, 0, 13, 0, 0, 6, 17, 0, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 0, 12, 37, 16, 0, 0, 0, 0, 0, 0, 0, 0, 42, 
10, 4, FarmClearings, 47601981, 39, 28, 367, 8, 7, 223, 0, 8, 27, 0, 3, 0, 0, 0, 2, 4, 0, 0, 0, 9, 17, 0, 0, 0, 17, 0, 0, 8, 16, 2, 1, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 16, 0, 16, 20, 8, 0, 0, 0, 0, 0, 0, 0, 1, 43, 
10, 4, FarmClearings, 30203024, 68, 39, 140, 271, 231, 6502, 1, 162, 794, 19, 52, 46, 0, 51, 27, 249, 0, 36, 174, 113, 499, 0, 0, 0, 779, 66, 9, 77, 687, 47, 6, 0, 0, 0, 0, 48, 0, 0, 1, 0, 132, 274, 0, 398, 209, 92, 1, 0, 0, 0, 0, 0, 0, 0, 1453, 
10, 4, FarmClearings, 45002780, 63, 38, 180, 416, 354, 9892, 32, 100, 1206, 8, 33, 457, 0, 115, 192, 287, 0, 15, 80, 176, 825, 3, 0, 0, 1257, 46, 57, 163, 896, 47, 128, 0, 0, 3, 0, 23, 0, 0, 0, 0, 113, 160, 0, 551, 483, 187, 1, 0, 2, 0, 0, 0, 0, 48, 2198, 
10, 4, FarmClearings, 47602780, 72, 27, 108, 9, 8, 217, 0, 0, 27, 0, 5, 0, 0, 8, 1, 7, 0, 0, 1, 4, 23, 0, 0, 0, 18, 0, 0, 1, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 12, 13, 5, 0, 0, 0, 0, 1, 0, 0, 0, 53, 
